ID;REG;LAYER;NUM
64;RU-NGR;railway-line;811
64;RU-NGR;parking-polygon;461
64;RU-NGR;landuse-polygon;9452
64;RU-NGR;public-transport-point;917
64;RU-NGR;building-point;100
64;RU-NGR;highway-line;31575
64;RU-NGR;aerialway-line;2
64;RU-NGR;poi-polygon;3115
64;RU-NGR;water-line;2952
64;RU-NGR;boundary-polygon;193
64;RU-NGR;railway-station-point;172
64;RU-NGR;building-polygon;63460
64;RU-NGR;poi-point;4402
64;RU-NGR;nature_reserve-polygon;15
64;RU-NGR;land;1
64;RU-NGR;settlement-polygon;798
64;RU-NGR;settlement-point;4206
64;RU-NGR;water-polygon;4951
64;RU-NGR;railway-platform-polygon;16
64;RU-NGR;surface-polygon;2024
64;RU-NGR;aerialway-point;2
64;RU-NGR;vegetation-polygon;8694
64;RU-NGR;highway-crossing-point;685
74;RU-ROS;railway-line;4166
74;RU-ROS;parking-polygon;1471
74;RU-ROS;coastlines;13
74;RU-ROS;landuse-polygon;35244
74;RU-ROS;public-transport-point;3209
74;RU-ROS;building-point;622
74;RU-ROS;highway-line;107858
74;RU-ROS;poi-polygon;10611
74;RU-ROS;water-line;5252
74;RU-ROS;boundary-polygon;494
74;RU-ROS;railway-station-point;325
74;RU-ROS;building-polygon;281466
74;RU-ROS;poi-point;12563
74;RU-ROS;nature_reserve-polygon;91
74;RU-ROS;land;6
74;RU-ROS;settlement-polygon;2226
74;RU-ROS;settlement-point;2325
74;RU-ROS;water-polygon;4877
74;RU-ROS;railway-platform-polygon;147
74;RU-ROS;water;1
74;RU-ROS;surface-polygon;1786
74;RU-ROS;vegetation-polygon;37154
74;RU-ROS;highway-crossing-point;3663
41;RU-KEM;railway-line;3998
41;RU-KEM;parking-polygon;917
41;RU-KEM;landuse-polygon;8074
41;RU-KEM;public-transport-point;1774
41;RU-KEM;building-point;58
41;RU-KEM;highway-line;58144
41;RU-KEM;aerialway-line;43
41;RU-KEM;poi-polygon;5371
41;RU-KEM;water-line;2432
41;RU-KEM;boundary-polygon;225
41;RU-KEM;railway-station-point;413
41;RU-KEM;building-polygon;159292
41;RU-KEM;poi-point;5236
41;RU-KEM;nature_reserve-polygon;4
41;RU-KEM;land;1
41;RU-KEM;settlement-polygon;792
41;RU-KEM;settlement-point;1183
41;RU-KEM;water-polygon;2724
41;RU-KEM;railway-platform-polygon;38
41;RU-KEM;surface-polygon;1535
41;RU-KEM;aerialway-point;141
41;RU-KEM;vegetation-polygon;13765
41;RU-KEM;highway-crossing-point;933
84;RU-UD;railway-line;2063
84;RU-UD;parking-polygon;817
84;RU-UD;landuse-polygon;9317
84;RU-UD;public-transport-point;1157
84;RU-UD;building-point;62
84;RU-UD;highway-line;50441
84;RU-UD;aerialway-line;7
84;RU-UD;poi-polygon;4553
84;RU-UD;water-line;6685
84;RU-UD;boundary-polygon;340
84;RU-UD;railway-station-point;180
84;RU-UD;building-polygon;122985
84;RU-UD;poi-point;4503
84;RU-UD;nature_reserve-polygon;8
84;RU-UD;land;1
84;RU-UD;settlement-polygon;1828
84;RU-UD;settlement-point;2010
84;RU-UD;water-polygon;3617
84;RU-UD;railway-platform-polygon;21
84;RU-UD;surface-polygon;1658
84;RU-UD;aerialway-point;2
84;RU-UD;vegetation-polygon;21113
84;RU-UD;highway-crossing-point;1196
79;RU-SMO;railway-line;970
79;RU-SMO;parking-polygon;246
79;RU-SMO;landuse-polygon;5242
79;RU-SMO;public-transport-point;739
79;RU-SMO;building-point;25
79;RU-SMO;highway-line;31138
79;RU-SMO;poi-polygon;1785
79;RU-SMO;water-line;7215
79;RU-SMO;boundary-polygon;3674
79;RU-SMO;railway-station-point;186
79;RU-SMO;building-polygon;124823
79;RU-SMO;poi-point;4436
79;RU-SMO;nature_reserve-polygon;15
79;RU-SMO;land;1
79;RU-SMO;settlement-polygon;4857
79;RU-SMO;settlement-point;5090
79;RU-SMO;water-polygon;2440
79;RU-SMO;railway-platform-polygon;6
79;RU-SMO;surface-polygon;4469
79;RU-SMO;vegetation-polygon;8069
79;RU-SMO;highway-crossing-point;560
14;UA;railway-line;46689
14;UA;parking-polygon;15118
14;UA;coastlines;467
14;UA;landuse-polygon;362838
14;UA;public-transport-point;26214
14;UA;building-point;12336
14;UA;highway-line;1318333
14;UA;aerialway-line;126
14;UA;poi-polygon;120471
14;UA;water-line;73870
14;UA;boundary-polygon;15627
14;UA;railway-station-point;4076
14;UA;building-polygon;3395002
14;UA;poi-point;176207
14;UA;nature_reserve-polygon;1947
14;UA;land;366
14;UA;settlement-polygon;13871
14;UA;settlement-point;32874
14;UA;water-polygon;107870
14;UA;railway-platform-polygon;1112
14;UA;water;30
14;UA;surface-polygon;73601
14;UA;aerialway-point;251
14;UA;vegetation-polygon;352739
14;UA;highway-crossing-point;23272
73;RU-PSK;railway-line;1183
73;RU-PSK;parking-polygon;642
73;RU-PSK;landuse-polygon;12738
73;RU-PSK;public-transport-point;1332
73;RU-PSK;building-point;92
73;RU-PSK;highway-line;50992
73;RU-PSK;aerialway-line;3
73;RU-PSK;poi-polygon;3750
73;RU-PSK;water-line;6810
73;RU-PSK;boundary-polygon;147
73;RU-PSK;railway-station-point;174
73;RU-PSK;building-polygon;150734
73;RU-PSK;poi-point;6669
73;RU-PSK;nature_reserve-polygon;10
73;RU-PSK;land;1
73;RU-PSK;settlement-polygon;3043
73;RU-PSK;settlement-point;8905
73;RU-PSK;water-polygon;9737
73;RU-PSK;railway-platform-polygon;12
73;RU-PSK;surface-polygon;11235
73;RU-PSK;aerialway-point;5
73;RU-PSK;vegetation-polygon;23170
73;RU-PSK;highway-crossing-point;1116
68;RU-ORE;railway-line;2457
68;RU-ORE;parking-polygon;541
68;RU-ORE;landuse-polygon;18378
68;RU-ORE;public-transport-point;975
68;RU-ORE;building-point;107
68;RU-ORE;highway-line;69737
68;RU-ORE;aerialway-line;3
68;RU-ORE;poi-polygon;4888
68;RU-ORE;water-line;2344
68;RU-ORE;boundary-polygon;565
68;RU-ORE;railway-station-point;204
68;RU-ORE;building-polygon;241437
68;RU-ORE;poi-point;4409
68;RU-ORE;nature_reserve-polygon;12
68;RU-ORE;land;1
68;RU-ORE;settlement-polygon;923
68;RU-ORE;settlement-point;1776
68;RU-ORE;water-polygon;3314
68;RU-ORE;railway-platform-polygon;43
68;RU-ORE;surface-polygon;1897
68;RU-ORE;aerialway-point;40
68;RU-ORE;vegetation-polygon;17287
68;RU-ORE;highway-crossing-point;1881
99;RU-TY;railway-line;7
99;RU-TY;parking-polygon;11
99;RU-TY;landuse-polygon;928
99;RU-TY;public-transport-point;17
99;RU-TY;building-point;244
99;RU-TY;highway-line;4871
99;RU-TY;poi-polygon;139
99;RU-TY;water-line;1160
99;RU-TY;boundary-polygon;145
99;RU-TY;railway-station-point;1
99;RU-TY;building-polygon;7274
99;RU-TY;poi-point;248
99;RU-TY;nature_reserve-polygon;3
99;RU-TY;land;1
99;RU-TY;settlement-polygon;56
99;RU-TY;settlement-point;194
99;RU-TY;water-polygon;811
99;RU-TY;surface-polygon;6
99;RU-TY;vegetation-polygon;360
99;RU-TY;highway-crossing-point;37
27;RU-BRY;railway-line;1432
27;RU-BRY;parking-polygon;361
27;RU-BRY;landuse-polygon;7279
27;RU-BRY;public-transport-point;849
27;RU-BRY;building-point;18
27;RU-BRY;highway-line;34472
27;RU-BRY;aerialway-line;2
27;RU-BRY;poi-polygon;2897
27;RU-BRY;water-line;1559
27;RU-BRY;boundary-polygon;306
27;RU-BRY;railway-station-point;158
27;RU-BRY;building-polygon;96824
27;RU-BRY;poi-point;3254
27;RU-BRY;nature_reserve-polygon;6
27;RU-BRY;land;1
27;RU-BRY;settlement-polygon;1210
27;RU-BRY;settlement-point;2769
27;RU-BRY;water-polygon;2344
27;RU-BRY;railway-platform-polygon;32
27;RU-BRY;surface-polygon;1102
27;RU-BRY;vegetation-polygon;7992
27;RU-BRY;highway-crossing-point;816
86;RU-VGG;railway-line;2601
86;RU-VGG;parking-polygon;1261
86;RU-VGG;landuse-polygon;18783
86;RU-VGG;public-transport-point;1065
86;RU-VGG;building-point;799
86;RU-VGG;highway-line;81957
86;RU-VGG;aerialway-line;1
86;RU-VGG;poi-polygon;9135
86;RU-VGG;water-line;4610
86;RU-VGG;boundary-polygon;543
86;RU-VGG;railway-station-point;230
86;RU-VGG;building-polygon;177195
86;RU-VGG;poi-point;6756
86;RU-VGG;nature_reserve-polygon;8
86;RU-VGG;land;1
86;RU-VGG;settlement-polygon;585
86;RU-VGG;settlement-point;1534
86;RU-VGG;water-polygon;7514
86;RU-VGG;railway-platform-polygon;79
86;RU-VGG;surface-polygon;2392
86;RU-VGG;vegetation-polygon;56661
86;RU-VGG;highway-crossing-point;1307
34;RU-IN;railway-line;20
34;RU-IN;parking-polygon;52
34;RU-IN;landuse-polygon;296
34;RU-IN;public-transport-point;6
34;RU-IN;building-point;8
34;RU-IN;highway-line;4156
34;RU-IN;poi-polygon;319
34;RU-IN;water-line;91
34;RU-IN;boundary-polygon;47
34;RU-IN;railway-station-point;4
34;RU-IN;building-polygon;32761
34;RU-IN;poi-point;125
34;RU-IN;nature_reserve-polygon;2
34;RU-IN;land;1
34;RU-IN;settlement-polygon;62
34;RU-IN;settlement-point;118
34;RU-IN;water-polygon;58
34;RU-IN;railway-platform-polygon;1
34;RU-IN;surface-polygon;78
34;RU-IN;vegetation-polygon;503
34;RU-IN;highway-crossing-point;28
66;RU-NVS;railway-line;3614
66;RU-NVS;parking-polygon;2121
66;RU-NVS;landuse-polygon;18621
66;RU-NVS;public-transport-point;1966
66;RU-NVS;building-point;173
66;RU-NVS;highway-line;82921
66;RU-NVS;aerialway-line;18
66;RU-NVS;poi-polygon;8562
66;RU-NVS;water-line;3744
66;RU-NVS;boundary-polygon;502
66;RU-NVS;railway-station-point;320
66;RU-NVS;building-polygon;263056
66;RU-NVS;poi-point;7870
66;RU-NVS;nature_reserve-polygon;14
66;RU-NVS;land;1
66;RU-NVS;settlement-polygon;1387
66;RU-NVS;settlement-point;1738
66;RU-NVS;water-polygon;8494
66;RU-NVS;railway-platform-polygon;194
66;RU-NVS;surface-polygon;3253
66;RU-NVS;aerialway-point;9
66;RU-NVS;vegetation-polygon;72672
66;RU-NVS;highway-crossing-point;1955
87;RU-VLA;railway-line;1176
87;RU-VLA;parking-polygon;2337
87;RU-VLA;landuse-polygon;21617
87;RU-VLA;public-transport-point;2132
87;RU-VLA;building-point;628
87;RU-VLA;highway-line;97138
87;RU-VLA;aerialway-line;10
87;RU-VLA;poi-polygon;7010
87;RU-VLA;water-line;8679
87;RU-VLA;boundary-polygon;132
87;RU-VLA;railway-station-point;224
87;RU-VLA;building-polygon;213160
87;RU-VLA;poi-point;15953
87;RU-VLA;nature_reserve-polygon;59
87;RU-VLA;land;1
87;RU-VLA;settlement-polygon;2495
87;RU-VLA;settlement-point;2797
87;RU-VLA;water-polygon;13069
87;RU-VLA;railway-platform-polygon;38
87;RU-VLA;surface-polygon;11239
87;RU-VLA;aerialway-point;3
87;RU-VLA;vegetation-polygon;55565
87;RU-VLA;highway-crossing-point;2000
8;BY;railway-line;11419
8;BY;parking-polygon;15431
8;BY;landuse-polygon;106686
8;BY;public-transport-point;17480
8;BY;building-point;1561
8;BY;highway-line;514776
8;BY;aerialway-line;16
8;BY;poi-polygon;51588
8;BY;water-line;113784
8;BY;boundary-polygon;1491
8;BY;railway-station-point;1022
8;BY;building-polygon;1577484
8;BY;poi-point;78363
8;BY;nature_reserve-polygon;178
8;BY;land;1
8;BY;settlement-polygon;23203
8;BY;settlement-point;24526
8;BY;water-polygon;45970
8;BY;railway-platform-polygon;121
8;BY;surface-polygon;25472
8;BY;aerialway-point;7
8;BY;vegetation-polygon;80228
8;BY;highway-crossing-point;17867
31;RU-CHU;railway-line;2
31;RU-CHU;parking-polygon;10
31;RU-CHU;coastlines;434
31;RU-CHU;landuse-polygon;200
31;RU-CHU;public-transport-point;31
31;RU-CHU;building-point;1
31;RU-CHU;highway-line;2864
31;RU-CHU;aerialway-line;2
31;RU-CHU;poi-polygon;360
31;RU-CHU;water-line;2664
31;RU-CHU;boundary-polygon;28
31;RU-CHU;building-polygon;7799
31;RU-CHU;poi-point;465
31;RU-CHU;nature_reserve-polygon;3
31;RU-CHU;land;379
31;RU-CHU;settlement-polygon;24
31;RU-CHU;settlement-point;167
31;RU-CHU;water-polygon;9652
31;RU-CHU;water;23
31;RU-CHU;surface-polygon;95
31;RU-CHU;vegetation-polygon;104
31;RU-CHU;highway-crossing-point;53
53;RU-KRS;railway-line;1605
53;RU-KRS;parking-polygon;840
53;RU-KRS;landuse-polygon;52028
53;RU-KRS;public-transport-point;1662
53;RU-KRS;building-point;58
53;RU-KRS;highway-line;61763
53;RU-KRS;aerialway-line;1
53;RU-KRS;poi-polygon;5701
53;RU-KRS;water-line;2317
53;RU-KRS;boundary-polygon;372
53;RU-KRS;railway-station-point;187
53;RU-KRS;building-polygon;232232
53;RU-KRS;poi-point;6322
53;RU-KRS;nature_reserve-polygon;8
53;RU-KRS;land;1
53;RU-KRS;settlement-polygon;1689
53;RU-KRS;settlement-point;2816
53;RU-KRS;water-polygon;5958
53;RU-KRS;railway-platform-polygon;27
53;RU-KRS;surface-polygon;6717
53;RU-KRS;vegetation-polygon;38932
53;RU-KRS;highway-crossing-point;843
47;RU-KK;railway-line;1052
47;RU-KK;parking-polygon;219
47;RU-KK;landuse-polygon;3544
47;RU-KK;public-transport-point;266
47;RU-KK;building-point;10
47;RU-KK;highway-line;16154
47;RU-KK;aerialway-line;6
47;RU-KK;poi-polygon;1512
47;RU-KK;water-line;1590
47;RU-KK;boundary-polygon;98
47;RU-KK;railway-station-point;83
47;RU-KK;building-polygon;36096
47;RU-KK;poi-point;1322
47;RU-KK;nature_reserve-polygon;7
47;RU-KK;land;1
47;RU-KK;settlement-polygon;265
47;RU-KK;settlement-point;295
47;RU-KK;water-polygon;1217
47;RU-KK;railway-platform-polygon;19
47;RU-KK;surface-polygon;334
47;RU-KK;aerialway-point;4
47;RU-KK;vegetation-polygon;2250
47;RU-KK;highway-crossing-point;198
54;RU-KYA;railway-line;5002
54;RU-KYA;parking-polygon;1323
54;RU-KYA;coastlines;1409
54;RU-KYA;landuse-polygon;25545
54;RU-KYA;public-transport-point;1634
54;RU-KYA;building-point;1203
54;RU-KYA;highway-line;84778
54;RU-KYA;aerialway-line;10
